Station,DateTime,Temperature High,Temperature Low,Wind Speed High,Wind Speed Low,Wind Gust High,Wind Gust Low,Wind Direction,Precipitation,Dew Point,Humidity,Pressure,Condition
KCABEVER36,2025-01-07T00:00,49.8,48.7,0,0,0,0,359,0,39.2,68.1,29.87,none
KCABEVER36,2025-01-07T00:15,49.1,48.4,0,0,0,0,4,0,39,69.4,29.87,none
KCABEVER36,2025-01-07T00:30,48.9,47.8,0,0,0,0,4,0,40.8,74.3,29.86,none
KCABEVER36,2025-01-07T00:45,48,47.1,2,0,3.4,0,0,0,41.2,77.7,29.86,none
KCABEVER36,2025-01-07T01:00,48.2,46.8,2.2,0,3.4,0,3,0,41.4,81.2,29.87,none
KCABEVER36,2025-01-07T01:15,48,46.2,1.1,0,1.1,0,2,0,41,81.3,29.86,none
KCABEVER36,2025-01-07T01:30,47.8,46.4,0,0,0,0,4,0,41.8,82.6,29.86,none
KCABEVER36,2025-01-07T01:45,46.9,46.4,0,0,0,0,5,0,41.5,82.2,29.86,none
KCABEVER36,2025-01-07T02:00,46.9,46.2,0,0,0,0,0,0,41.4,82.8,29.86,none
KCABEVER36,2025-01-07T02:15,48.2,46.6,1.8,0,2.2,0,6,0,41.3,81.2,29.86,none
KCABEVER36,2025-01-07T02:30,50.5,48.4,1.8,0,2.2,0,7,0,42.9,78,29.85,none
KCABEVER36,2025-01-07T02:45,51.1,50.5,0.2,0,1.1,0,3,0,43.8,77,29.85,none
KCABEVER36,2025-01-07T03:00,51.3,50.5,2.9,0,3.4,0,2,0,43.5,76.3,29.85,none
KCABEVER36,2025-01-07T03:15,52.9,51.3,3.8,0,4.5,0,19,0,43.3,71,29.84,none
KCABEVER36,2025-01-07T03:30,53.6,52.7,2.7,0,4.5,0,1,0,41.8,64.8,29.84,none
KCABEVER36,2025-01-07T03:45,54.7,53.6,2.2,0,3.4,0,5,0,40.6,59.3,29.84,none
KCABEVER36,2025-01-07T04:00,54.9,54,3.1,0,3.4,0,2,0,39.6,56.5,29.84,none
KCABEVER36,2025-01-07T04:15,55.8,53.6,3.8,0,6.9,0,340,0,38,51.5,29.85,none
KCABEVER36,2025-01-07T04:30,57.7,55.8,6,0,10.3,0,344,0,37.2,47,29.85,none
KCABEVER36,2025-01-07T04:45,58.8,57.7,4,0,6.9,0,334,0,37.6,47,29.85,none
KCABEVER36,2025-01-07T05:00,59.4,58.5,4.7,0.7,6.9,1.1,342,0,38.8,47.8,29.86,none
KCABEVER36,2025-01-07T05:15,59.4,58.5,2.7,0,4.5,0,353,0,39.8,48.9,29.86,none
KCABEVER36,2025-01-07T05:30,58.5,58.3,3.6,0,4.5,0,347,0,39.9,50,29.86,none
KCABEVER36,2025-01-07T05:45,59.4,58.5,4.9,0,6.9,0,333,0,40,49,29.86,none
KCABEVER36,2025-01-07T06:00,59.4,59,5.1,0,6.9,0,339,0,40.2,49.1,29.86,none
KCABEVER36,2025-01-07T06:15,59.7,59,4.5,0,8.1,0,346,0,40.3,49,29.87,none
KCABEVER36,2025-01-07T06:30,60.1,59.4,8.1,0.7,13.6,1.1,338,0,40.2,48,29.87,none
KCABEVER36,2025-01-07T06:45,59.4,58.5,5.6,0,8.1,0,1,0,40.6,50.7,29.88,none
KCABEVER36,2025-01-07T07:00,58.5,58.3,3.4,0,5.8,0,0,0,40.7,51.7,29.88,none
KCABEVER36,2025-01-07T07:15,59.2,57.9,8.7,0,11.4,0,345,0,39.9,49.3,29.88,none
KCABEVER36,2025-01-07T07:30,59.9,59.2,6,0.9,10.3,1.1,347,0,39.9,47.8,29.89,none
KCABEVER36,2025-01-07T07:45,60.1,59.5,6,0.2,9.2,1.1,8,0,39.4,46.9,29.9,none
KCABEVER36,2025-01-07T08:00,60.6,60.1,7.4,0,12.5,0,2,0,39.6,45.8,29.9,none
KCABEVER36,2025-01-07T08:15,60.1,59.7,7.6,0.7,13.6,1.1,2,0,38.8,45.7,29.91,none
KCABEVER36,2025-01-07T08:30,60.1,59.9,4.9,0.7,9.2,1.1,4,0,39,45.8,29.91,none
KCABEVER36,2025-01-07T08:45,60.1,59.9,4.7,0,8.1,0,0,0,39,46,29.92,none
KCABEVER36,2025-01-07T09:00,60.4,60.1,6.5,0.2,10.3,1.1,13,0,39,45.1,29.93,none
KCABEVER36,2025-01-07T09:15,60.8,60.4,8.7,0.7,13.6,1.1,1,0,39.1,44.9,29.93,none
KCABEVER36,2025-01-07T09:30,60.8,60.1,13,1.3,19.5,2.2,32,0,39.6,46,29.94,none
KCABEVER36,2025-01-07T09:45,60.1,59.5,8.7,0,14.8,0,24,0,39.8,47.6,29.94,none
KCABEVER36,2025-01-07T10:00,60.3,59.7,6.9,0.2,10.3,1.1,6,0,39.6,46.8,29.94,none
KCABEVER36,2025-01-07T10:15,60.8,60.3,8.1,0,12.5,0,5,0,39.3,45,29.95,none
KCABEVER36,2025-01-07T10:30,60.6,60.4,6,0,10.3,0,17,0,39,44.8,29.94,none
KCABEVER36,2025-01-07T10:45,62.6,60.6,8.5,0,11.4,0,9,0,38.6,42.2,29.94,none
KCABEVER36,2025-01-07T11:00,63.5,62.6,6,0,8.1,0,2,0,38.3,39.7,29.94,none
KCABEVER36,2025-01-07T11:15,62.8,62.2,5.4,0,8.1,0,4,0,37.4,39.7,29.92,none
KCABEVER36,2025-01-07T11:30,64.8,62.4,5.6,0,11.4,0,1,0,37.6,37,29.91,none
KCABEVER36,2025-01-07T11:45,66,63.9,6.9,0.2,10.3,1.1,342,0,37.2,35.5,29.89,none
KCABEVER36,2025-01-07T12:00,66.7,65.8,7.6,1.3,10.3,2.2,9,0,36.9,33.2,29.89,none
KCABEVER36,2025-01-07T12:15,67.8,66.6,6.5,0.2,10.3,1.1,352,0,36.9,32.5,29.88,none
KCABEVER36,2025-01-07T12:30,69.1,67.5,4.7,0.4,9.2,1.1,0,0,36.4,30.3,29.87,none
