"Station","DateTime","Temperature High","Temperature Low","Wind Speed High","Wind Speed Low","Wind Gust High","Wind Gust Low","Wind Direction","Precipitation","Dew Point","Humidity","Pressure","Condition"
"KCAMALIB62","2025-01-07T00:00",52.2,51.6,0,0,0,0,322,0,43.4,73,29.88,"none"
"KCAMALIB62","2025-01-07T00:15",52.2,51.6,0,0,0,0,322,0,43.4,73,29.88,"none"
"KCAMALIB62","2025-01-07T00:30",53.4,52.9,0,0,0,0,292,0,45.2,75,29.88,"none"
"KCAMALIB62","2025-01-07T00:45",53.8,53.1,1.3,0,2.2,0,295,0,44.9,72,29.87,"none"
"KCAMALIB62","2025-01-07T01:00",53.8,53.2,1.1,0,1.1,0,267,0,44.4,70.8,29.88,"none"
"KCAMALIB62","2025-01-07T01:15",53.1,51.6,0.2,0,1.1,0,299,0,44.2,72.3,29.88,"none"
"KCAMALIB62","2025-01-07T01:30",51.4,50.7,0.9,0,1.1,0,298,0,44.1,77,29.86,"none"
"KCAMALIB62","2025-01-07T01:45",50.9,50.2,0.9,0,1.1,0,299,0,44.2,79,29.87,"none"
"KCAMALIB62","2025-01-07T02:00",51.4,50.9,0.9,0,1.1,0,298,0,44.8,79,29.87,"none"
"KCAMALIB62","2025-01-07T02:15",50.9,50.5,1.3,0,2.2,0,308,0,44.5,79.3,29.87,"none"
"KCAMALIB62","2025-01-07T02:30",50.5,50.2,0.7,0,1.1,0,302,0,44.7,80.5,29.87,"none"
"KCAMALIB62","2025-01-07T02:45",52.9,51.1,2.5,0,3.4,0,302,0,46,82.5,29.87,"none"
"KCAMALIB62","2025-01-07T03:00",57,53.2,2.2,0.2,4.5,1.1,299,0,43.9,66,29.86,"none"
"KCAMALIB62","2025-01-07T03:15",58.8,56.1,2.9,0,4.5,0,32,0,41.8,55.7,29.85,"none"
"KCAMALIB62","2025-01-07T03:30",59.5,57,2.5,0,4.5,0,296,0,40.5,49.7,29.85,"none"
"KCAMALIB62","2025-01-07T03:45",60.8,59.9,5.1,1.1,6.9,1.1,38,0,40.2,47,29.85,"none"
"KCAMALIB62","2025-01-07T04:00",62.1,60.6,3.4,1.8,6.9,2.2,305,0,39.8,44,29.84,"none"
"KCAMALIB62","2025-01-07T04:15",62.1,61.7,5.4,2.5,8.1,3.4,52,0,39.9,44,29.84,"none"
"KCAMALIB62","2025-01-07T04:30",63,62.1,4.9,4,10.3,5.8,12,0,40,44,29.85,"none"
"KCAMALIB62","2025-01-07T04:45",63.7,63.5,6,2,8.1,3.4,16,0,41,43.5,29.85,"none"
"KCAMALIB62","2025-01-07T05:00",64,63.7,7.8,2.9,12.5,3.4,20,0,41.5,44,29.85,"none"
"KCAMALIB62","2025-01-07T05:15",63.9,63.9,7.6,6.3,11.4,8.1,266,0,42.1,45,29.86,"none"
"KCAMALIB62","2025-01-07T05:30",64,63.7,7.8,2.9,12.5,3.4,20,0,41.5,44,29.85,"none"
"KCAMALIB62","2025-01-07T05:45",63.7,63.5,9.2,3.8,15.9,5.8,33,0,41.9,45,29.86,"none"
"KCAMALIB62","2025-01-07T06:00",63.7,63.3,8.1,3.4,10.3,5.8,0,0,41.7,44.8,29.86,"none"
"KCAMALIB62","2025-01-07T06:15",63.7,63.3,8.1,3.4,10.3,5.8,0,0,41.7,44.8,29.86,"none"
